,,Wins,Losses,Ties,AVG Rounds
rl_rules_trained,llm_llama3,23.0,5.0,2.0,8.866666666666667
rl_rules_trained,ai,22.0,8.0,0.0,2.2666666666666666
rl_rules_trained,random,21.0,3.0,6.0,9.8
llm_llama3,random,20.0,8.0,2.0,9.2
ai,random,19.0,11.0,0.0,2.933333333333333
llm_mistral,llm_llama3,18.0,11.0,1.0,4.966666666666667
ai,llm_mistral,18.0,12.0,0.0,1.4333333333333333
llm_mistral,random,17.0,12.0,1.0,8.666666666666666
llm_llama3,ai,17.0,13.0,0.0,1.9
llm_mistral,rl_rules_trained,14.0,12.0,4.0,11.733333333333333
ai,llm_llama3,13.0,17.0,0.0,1.9
rl_rules_trained,llm_mistral,12.0,14.0,4.0,11.733333333333333
llm_mistral,ai,12.0,18.0,0.0,1.4333333333333333
random,llm_mistral,12.0,17.0,1.0,8.666666666666666
llm_llama3,llm_mistral,11.0,18.0,1.0,4.966666666666667
random,ai,11.0,19.0,0.0,2.933333333333333
random,llm_llama3,8.0,20.0,2.0,9.2
ai,rl_rules_trained,8.0,22.0,0.0,2.2666666666666666
llm_llama3,rl_rules_trained,5.0,23.0,2.0,8.866666666666667
random,rl_rules_trained,3.0,21.0,6.0,9.8
rl_llama3_trained,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_rules_trained,rl_llama3_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,llm_gpt4,0.0,0.0,0.0,0.0
llm_gpt4,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,llm_gpt4,0.0,0.0,0.0,0.0
llm_gpt4,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,llm_gpt4,0.0,0.0,0.0,0.0
rl_mistral_trained,ai,0.0,0.0,0.0,0.0
rl_mistral_trained,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,rl_rules_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,rl_llama3_trained,0.0,0.0,0.0,0.0
rl_rules_trained,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,rl_rules_trained,0.0,0.0,0.0,0.0
rl_rules_trained,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,rl_rules_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,ai,0.0,0.0,0.0,0.0
rl_gpt4_trained,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_rules_trained,llm_gpt4,0.0,0.0,0.0,0.0
ai,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,ai,0.0,0.0,0.0,0.0
ai,rl_llama3_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,rl_llama3_trained,0.0,0.0,0.0,0.0
llm_gpt4,rl_llama3_trained,0.0,0.0,0.0,0.0
llm_llama3,rl_llama3_trained,0.0,0.0,0.0,0.0
llm_gpt4,rl_rules_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,llm_mistral,0.0,0.0,0.0,0.0
random,llm_gpt4,0.0,0.0,0.0,0.0
llm_gpt4,random,0.0,0.0,0.0,0.0
random,rl_llama3_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,random,0.0,0.0,0.0,0.0
random,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,random,0.0,0.0,0.0,0.0
random,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,random,0.0,0.0,0.0,0.0
llm_mistral,llm_gpt4,0.0,0.0,0.0,0.0
llm_gpt4,llm_mistral,0.0,0.0,0.0,0.0
llm_mistral,rl_llama3_trained,0.0,0.0,0.0,0.0
llm_mistral,rl_gpt4_trained,0.0,0.0,0.0,0.0
ai,llm_gpt4,0.0,0.0,0.0,0.0
rl_gpt4_trained,llm_mistral,0.0,0.0,0.0,0.0
llm_mistral,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,llm_mistral,0.0,0.0,0.0,0.0
llm_llama3,llm_gpt4,0.0,0.0,0.0,0.0
llm_gpt4,llm_llama3,0.0,0.0,0.0,0.0
rl_llama3_trained,llm_llama3,0.0,0.0,0.0,0.0
llm_llama3,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,llm_llama3,0.0,0.0,0.0,0.0
llm_llama3,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,llm_llama3,0.0,0.0,0.0,0.0
llm_gpt4,ai,0.0,0.0,0.0,0.0
ai,rl_mistral_trained,0.0,0.0,0.0,0.0
