,,Wins,Losses,Ties,AVG Rounds
rl_rules_trained,ai,25.0,5.0,0.0,3.033333333333333
rl_rules_trained,llm_mistral,25.0,3.0,2.0,6.3
llm_llama3,random,24.0,6.0,0.0,7.8
ai,random,22.0,7.0,1.0,9.4
rl_rules_trained,random,22.0,6.0,2.0,8.2
ai,llm_mistral,22.0,7.0,1.0,7.1
ai,llm_llama3,20.0,10.0,0.0,2.7666666666666666
llm_llama3,llm_mistral,20.0,10.0,0.0,8.966666666666667
rl_rules_trained,llm_llama3,15.0,4.0,0.0,1.9473684210526316
llm_mistral,random,15.0,13.0,2.0,17.833333333333332
random,llm_mistral,13.0,15.0,2.0,17.833333333333332
llm_llama3,ai,10.0,20.0,0.0,2.7666666666666666
llm_mistral,llm_llama3,10.0,20.0,0.0,8.966666666666667
random,ai,7.0,22.0,1.0,9.4
llm_mistral,ai,7.0,22.0,1.0,7.1
random,rl_rules_trained,6.0,22.0,2.0,8.2
random,llm_llama3,6.0,24.0,0.0,7.8
ai,rl_rules_trained,5.0,25.0,0.0,3.033333333333333
llm_llama3,rl_rules_trained,4.0,15.0,0.0,1.9473684210526316
llm_mistral,rl_rules_trained,3.0,25.0,2.0,6.3
rl_rules_trained,rl_llama3_trained,0.0,0.0,0.0,0.0
rl_rules_trained,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,rl_rules_trained,0.0,0.0,0.0,0.0
rl_rules_trained,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,rl_rules_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,ai,0.0,0.0,0.0,0.0
ai,rl_llama3_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,rl_llama3_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,rl_llama3_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,ai,0.0,0.0,0.0,0.0
ai,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,ai,0.0,0.0,0.0,0.0
rl_llama3_trained,rl_rules_trained,0.0,0.0,0.0,0.0
random,rl_llama3_trained,0.0,0.0,0.0,0.0
llm_mistral,rl_llama3_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,random,0.0,0.0,0.0,0.0
rl_llama3_trained,llm_mistral,0.0,0.0,0.0,0.0
llm_mistral,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,llm_mistral,0.0,0.0,0.0,0.0
llm_mistral,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,llm_mistral,0.0,0.0,0.0,0.0
rl_mistral_trained,random,0.0,0.0,0.0,0.0
random,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,random,0.0,0.0,0.0,0.0
random,rl_gpt4_trained,0.0,0.0,0.0,0.0
llm_llama3,rl_llama3_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,llm_llama3,0.0,0.0,0.0,0.0
llm_llama3,rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_gpt4_trained,llm_llama3,0.0,0.0,0.0,0.0
llm_llama3,rl_mistral_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,llm_llama3,0.0,0.0,0.0,0.0
ai,rl_mistral_trained,0.0,0.0,0.0,0.0
